0,1,2,3,4,5,6,7,8,9,10,11,12
https://store.steampowered.com/app/3241660/REPO/?snr=1_7_7_230_150_1&l=english,R.E.P.O.,2025-02-26,semiwork,"['Action', 'Early Access']",424 руб.,0%,0,"['Horror', 'Online Co-Op', 'Multiplayer', 'Comedy', 'Co-op', 'Physics', 'First-Person', '3D', 'Stealth', 'Survival', 'Robots', 'Action', 'Exploration', 'Funny', 'Procedural Generation', 'Action Roguelike', 'Post-apocalyptic', 'Sci-fi', 'Perma Death', 'Early Access']",Overwhelmingly Positive,"299,370",Very Positive,"8,992"
https://store.steampowered.com/app/3564740/Where_Winds_Meet/?snr=1_7_7_230_150_1&l=english,Where Winds Meet,2025-11-14,Everstone Studio,"['Action', 'Adventure', 'RPG', 'Free To Play']",Free To Play,0%,0,"['Open World', 'Free to Play', 'Multiplayer', 'Souls-like', 'Online Co-Op', 'Action RPG', 'MMORPG', 'Adventure', 'Action', 'Story Rich', 'RPG', 'Singleplayer', 'Martial Arts', 'Action-Adventure', 'PvE', 'PvP', '3D', 'Historical', 'Atmospheric', 'Alternate History']",Very Positive,"106,752",Mostly Positive,"3,281"
https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/?snr=1_7_7_230_150_1&l=english,ARK: Survival Ascended,2023-10-25,"Studio Wildcard, Grove Street Games, Instinct Games","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",3808 руб.,-75%,16,"['Early Access', 'Survival', 'Open World', 'Multiplayer', 'Dinosaurs', 'Base Building', 'Building', 'Crafting', 'Adventure', 'Sandbox', 'Action', 'Character Customization', 'Singleplayer', 'PvE', 'PvP', 'Massively Multiplayer', 'Inventory Management', 'RPG', 'Fantasy', 'Sci-fi']",Mixed,"91,925",Mixed,"3,362"
https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_230_150_1&l=english,Baldur's Gate 3,2023-08-03,Larian Studios,"['Adventure', 'RPG', 'Strategy']",1999 руб.,0%,2,"['RPG', 'Character Customization', 'Choices Matter', 'Dungeons & Dragons', 'Turn-Based Combat', 'Story Rich', 'Sexual Content', 'CRPG', 'Fantasy', 'Adventure', 'Romance', 'Online Co-Op', 'Multiplayer', 'Strategy', 'Singleplayer', 'Nudity', 'Co-op Campaign', 'Class-Based', 'Dark Fantasy', 'Combat']",Overwhelmingly Positive,"733,733",Very Positive,"5,291"
https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_230_150_1&l=english,ELDEN RING,2022-02-25,"FromSoftware, Inc.","['Action', 'RPG']",3599 руб.,0%,2,"['Souls-like', 'Open World', 'Dark Fantasy', 'RPG', 'Difficult', 'Action RPG', 'Multiplayer', 'Third Person', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'Atmospheric', 'Great Soundtrack', 'PvP', 'Violent', '3D', 'Character Customization', 'Family Friendly']",Very Positive,"811,616",Very Positive,"5,327"
https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_230_150_1&l=english,BeamNG.drive,2015-05-29,BeamNG,"['Racing', 'Simulation', 'Early Access']",880 руб.,0%,0,"['Simulation', 'Driving', 'Physics', 'Realistic', 'Destruction', 'Automobile Sim', 'Sandbox', 'Open World', 'Racing', 'Multiplayer', 'Moddable', 'Singleplayer', 'Early Access', 'First-Person', 'VR', 'Third Person', 'Funny', 'Action', 'Adventure', 'Exploration']",Overwhelmingly Positive,"357,374",Overwhelmingly Positive,"6,479"
https://store.steampowered.com/app/686060/Mewgenics/?snr=1_7_7_230_150_1&l=english,Mewgenics,2026-02-10,"Edmund McMillen, Tyler Glaiel","['Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",1100 руб.,0%,1,"['Turn-Based Tactics', 'Roguelite', 'Dark Humor', 'Turn-Based Strategy', 'Cats', 'Turn-Based Combat', 'RPG', 'Funny', 'Cute', '2D', 'Comic Book', 'Horror', 'Cartoony', 'Surreal', 'Post-apocalyptic', 'Choices Matter', 'Nonlinear', 'Tactical', 'Magic', 'Sci-fi']",Very Positive,"40,427",Very Positive,"7,359"
https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_230_150_1&l=english,Ready or Not,2023-12-13,VOID Interactive,"['Action', 'Adventure', 'Indie']",2240 руб.,0%,4,"['Tactical', 'Realistic', 'FPS', 'Shooter', 'Multiplayer', 'Singleplayer', 'Co-op', 'Horror', 'First-Person', 'Action', 'Violent', 'Psychological Horror', 'Gun Customization', 'Combat', 'Crime', 'Gore', 'Modern', 'Atmospheric', 'Co-op Campaign', 'America']",Mostly Positive,"247,812",Very Positive,"5,699"
https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_230_150_1&l=english,RimWorld,2018-10-17,Ludeon Studios,"['Indie', 'Simulation', 'Strategy']",1099 руб.,0%,10,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Management', 'Sandbox', 'Singleplayer', 'Moddable', 'Simulation', 'Sci-fi', 'Story Rich', 'Replay Value', 'Open World', 'Procedural Generation', '2D', 'Indie', 'City Builder', 'Tactical RPG', 'Building', 'Atmospheric']",Overwhelmingly Positive,"200,648",Overwhelmingly Positive,"1,844"
https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/?snr=1_7_7_230_150_1&l=english,"Warhammer 40,000: Space Marine 2",2024-09-09,Saber Interactive,"['Action', 'Adventure', 'RPG']",9316 руб.,0%,22,"['Warhammer 40K', 'Action', 'Co-op', 'Third-Person Shooter', 'Multiplayer', 'PvE', 'Adventure', 'Action-Adventure', 'Third Person', 'Sci-fi', 'Wargame', 'Singleplayer', '3D', 'War', 'Space', 'Fantasy', 'Narration', 'Futuristic', 'Cinematic', 'Realistic']",Very Positive,"152,034",Very Positive,"3,373"
